title,link,author,published_in
Single Malt Spacecraft,https://www.lightspeedmagazine.com/fiction/single-malt-spacecraft/,Marie Vibbert,Jun. 2020
"Still Life with Hammers, a Broom, and a Brick Stacker",https://www.lightspeedmagazine.com/fiction/still-life-with-hammers-a-broom-and-a-brick-stacker/,Tochi Onyebuchi,Jun. 2020
Rager in Space,https://www.lightspeedmagazine.com/fiction/rager-in-space/,Charlie Jane Anders,May 2020
Melting Like Metal,https://www.lightspeedmagazine.com/fiction/melting-like-metal/,Ada Hoffmann,May 2020
One Hundred Sentences About the City of the Future: A Jeremiad,https://www.lightspeedmagazine.com/fiction/one-hundred-sentences-about-the-city-of-the-future-a-jeremiad/,Alex Irvine,May 2020
A Subtle Web: A Tale From the Somadeva Chronicles,https://www.lightspeedmagazine.com/fiction/a-subtle-web-a-tale-from-the-somadeva-chronicles/,Vandana Singh,Apr. 2020
Voice of Their Generation,https://www.lightspeedmagazine.com/fiction/voice-of-their-generation/,Andrew Dana Hudson,Apr. 2020
Always the Harvest,https://www.lightspeedmagazine.com/fiction/always-the-harvest/,Yoon Ha Lee,Apr. 2020
The Least of These,https://www.lightspeedmagazine.com/fiction/the-least-of-these/,Veronica Roth,Apr. 2020
Reliable People,https://www.lightspeedmagazine.com/fiction/reliable-people/,Charlie Jane Anders,Mar. 2020
Many Happy Returns,https://www.lightspeedmagazine.com/fiction/many-happy-returns/,Adam-Troy Castro,Mar. 2020
Living the Quiet Life,https://www.lightspeedmagazine.com/fiction/living-the-quiet-life/,A.M. Dellamonica,Mar. 2020
Giant Steps,https://www.lightspeedmagazine.com/fiction/giant-steps/,Russell Nichols,Mar. 2020
The Gamecocks,https://www.lightspeedmagazine.com/fiction/the-gamecocks/,JT Petty,Feb. 2020
Dying Light,https://www.lightspeedmagazine.com/fiction/dying-light/,Maria Romasco-Moore,Feb. 2020
How We Burn,https://www.lightspeedmagazine.com/fiction/how-we-burn/,Brenda Peynado,Feb. 2020
The Ones Who Stay and Fight,https://www.lightspeedmagazine.com/fiction/the-ones-who-stay-and-fight/,N.K. Jemisin,Jan. 2020
Ark of Light,https://www.lightspeedmagazine.com/fiction/ark-of-light/,Victor LaValle,Feb. 2020
She’d Never Had a Name Before,https://www.lightspeedmagazine.com/fiction/shed-never-had-a-name-before/,J.R. Dawson,Jan. 2020
The Death of Fire Station 10,https://www.lightspeedmagazine.com/fiction/the-death-of-fire-station-10/,Ray Nayler,Oct. 2019
Nesting Habits of Enceladan Jade Beetles,https://www.lightspeedmagazine.com/fiction/nesting-habits-of-enceladan-jade-beetles/,Eli Brown,Oct. 2019
Revival,https://www.lightspeedmagazine.com/fiction/revival/,WC Dunlap,Oct. 2019
The Beasts We Want To Be,https://www.lightspeedmagazine.com/fiction/the-beasts-we-want-to-be/,Sam J. Miller,Oct. 2019
The Answer That You Are Seeking,https://www.lightspeedmagazine.com/fiction/the-answer-that-you-are-seeking/,Jenny Rae Rappaport,Sep. 2019
"Hello, Hello",https://www.lightspeedmagazine.com/fiction/hello-hello/,Seanan McGuire,Sep. 2019
Sacrid’s Pod,https://www.lightspeedmagazine.com/fiction/sacrids-pod/,Adam-Troy Castro,Sep. 2019
Exile from Extinction,https://www.lightspeedmagazine.com/fiction/exile-from-extinction/,Ramez Naam,Sep. 2019
The Macrobe Conservation Project,https://www.lightspeedmagazine.com/fiction/the-macrobe-conservation-project/,Carlos Hernandez,Aug. 2019
No Matter,https://www.lightspeedmagazine.com/fiction/no-matter/,Kendra Fortmeyer,Aug. 2019
"All Together, Now",https://www.lightspeedmagazine.com/fiction/all-together-now/,Jason Hough,Jan. 2020
The Men Who Change the World,https://www.lightspeedmagazine.com/fiction/the-men-who-change-the-world/,Christopher East,Jan. 2020
Motherhood,https://www.lightspeedmagazine.com/fiction/motherhood/,Pat Murphy,Dec. 2019
A Bad Day in Utopia,https://www.lightspeedmagazine.com/fiction/a-bad-day-in-utopia/,Matthew Baker,Dec. 2019
Njuzu,https://www.lightspeedmagazine.com/fiction/njuzu/,T.L. Huchu,Dec. 2019
Today Is Today,https://www.lightspeedmagazine.com/fiction/today-is-today/,Rick Wilber,Dec. 2019
"Eros Pratfalled, Or, Adrift in the Cosmos With Lasagna and Mary Steenburgen",https://www.lightspeedmagazine.com/fiction/eros-pratfalled-or-adrift-in-the-cosmos-with-lasagna-and-mary-steenburgen/,Adam-Troy Castro,Nov. 2019
Overburden,https://www.lightspeedmagazine.com/fiction/overburden/,Genevieve Valentine,Nov. 2019
"Her Appetite, His Heart",https://www.lightspeedmagazine.com/fiction/her-appetite-his-heart/,Dominica Phetteplace,Nov. 2019
Calved,https://www.lightspeedmagazine.com/fiction/calved/,Sam J. Miller,Aug. 2019
The Concubine’s Heart,https://www.lightspeedmagazine.com/fiction/the-concubines-heart/,Matthew Bright,Nov. 2019
One Thousand Beetles in a Jumpsuit,https://www.lightspeedmagazine.com/fiction/one-thousand-beetles-in-a-jumpsuit/,Dominica Phetteplace,Aug. 2019
The Moon Is Not a Battlefield,https://www.lightspeedmagazine.com/fiction/the-moon-is-not-a-battlefield/,Indrapramit Das,July 2019
Miles and Miles and Miles,https://www.lightspeedmagazine.com/fiction/miles-and-miles-and-miles/,Andrew Penn Romine,July 2019
The Null Space Conundrum,https://www.lightspeedmagazine.com/fiction/the-null-space-conundrum/,Violet Allen,July 2019
The Mysteries,https://www.lightspeedmagazine.com/fiction/the-mysteries/,Karen Lord,July 2019
Warhosts,https://www.lightspeedmagazine.com/fiction/warhosts/,Yoon Ha Lee,June 2019
The Harvest of a Half-Known Life,https://www.lightspeedmagazine.com/fiction/the-harvest-of-a-half-known-life/,G.V. Anderson,June 2019
Truth Is Like the Sun,https://www.lightspeedmagazine.com/fiction/truth-is-like-the-sun/,Matthew Kressel,May 2019
The Iron Man,https://www.lightspeedmagazine.com/fiction/the-iron-man/,Max Gladstone,May 2019
Between the Dark and the Dark,https://www.lightspeedmagazine.com/fiction/between-the-dark-and-the-dark/,Deji Bryce Olukotun,June 2019
This Way to Paradise,https://www.lightspeedmagazine.com/fiction/this-way-to-paradise/,Rati Mehrotra,May 2019
Cocoons,https://www.lightspeedmagazine.com/fiction/cocoons/,Nancy Kress,May 2019
The She-Wolf’s Hidden Grin,https://www.lightspeedmagazine.com/fiction/the-she-wolfs-hidden-grin/,Michael Swanwick,Apr. 2019
"Gundark Island, or, Tars Tarkas Needs Your Help",https://www.lightspeedmagazine.com/fiction/gundark-island-or-tars-tarkas-needs-your-help/,Matthew Corradi,Apr. 2019
"To Market, To Market: The Branding of Billy Bailey",https://www.lightspeedmagazine.com/fiction/to-market-to-market-the-branding-of-billy-bailey/,Cory Doctorow,Apr. 2019
My Children’s Home,https://www.lightspeedmagazine.com/fiction/my-childrens-home/,Woody Dismukes,Mar. 2019
The Archronology of Love,https://www.lightspeedmagazine.com/fiction/the-archronology-of-love/,Caroline M. Yoachim,Apr. 2019
A Temporary Embarrassment in Spacetime,https://www.lightspeedmagazine.com/fiction/a-temporary-embarrassment-in-spacetime/,Charlie Jane Anders,Mar. 2019
On the Shores of Ligeia,https://www.lightspeedmagazine.com/fiction/on-the-shores-of-ligeia/,Carolyn Ives Gilman,Mar. 2019
Marlowe and Harry and the Disinclined Laboratory,https://www.lightspeedmagazine.com/fiction/marlowe-and-harry-and-the-disinclined-laboratory/,Carrie Vaughn,Feb. 2019
The Incursus by Asimov-NN#71,https://www.lightspeedmagazine.com/fiction/the-incursus-by-asimov-nn71/,Gord Sellar,Feb. 2019
The Synapse Will Free Us from Ourselves,https://www.lightspeedmagazine.com/fiction/the-synapse-will-free-us-from-ourselves/,Violet Allen,Mar. 2019
Life Sentence,https://www.lightspeedmagazine.com/fiction/life-sentence/,Matthew Baker,Feb. 2019
"Okay, Glory",https://www.lightspeedmagazine.com/fiction/okay-glory/,Elizabeth Bear,Feb. 2019
The Book Collector,https://www.lightspeedmagazine.com/fiction/the-book-collector/,Sarah Micklem,Jan. 2019
Midway,https://www.lightspeedmagazine.com/fiction/midway/,Tony Ballantyne,Jan. 2019
The Engine at Heartspring’s Center,https://www.lightspeedmagazine.com/fiction/engine-at-heartsprings-center/,Roger Zelazny,Jan. 2019
With Teeth Unmake the Sun,https://www.lightspeedmagazine.com/fiction/with-teeth-unmake-the-sun/,Merc Fenn Wolfmoor,Jan. 2019
Under the Sea of Stars,https://www.lightspeedmagazine.com/fiction/under-the-sea-of-stars/,Seanan McGuire,Dec. 2018
Mouths,https://www.lightspeedmagazine.com/fiction/mouths/,Lizz Huerta,Dec. 2018
Vade Retro Satana,https://www.lightspeedmagazine.com/fiction/vade-retro-satana/,Maurice Broaddus,Dec. 2018
Remaking History,https://www.lightspeedmagazine.com/fiction/remaking-history/,Kim Stanley Robinson,Dec. 2018
Moonboys,https://www.lightspeedmagazine.com/fiction/moonboys/,Stephen Graham Jones,Nov. 2018
Oversite,https://www.lightspeedmagazine.com/fiction/oversite/,Maureen F. McHugh,Nov. 2018
Talk to Your Children About Two-Tongued Jeremy,https://www.lightspeedmagazine.com/fiction/talk-to-your-children-about-two-tongued-jeremy-2/,Theodore McCombs,Nov. 2018
America: The Ride,https://www.lightspeedmagazine.com/fiction/america-the-ride/,Charles Yu,Nov. 2018
Tribute,https://www.lightspeedmagazine.com/fiction/tribute/,Jack Skillingstead,Oct. 2018
The Horror of Party Beach,https://www.lightspeedmagazine.com/fiction/the-horror-of-party-beach/,Dale Bailey,Oct. 2018
Big Boss Bitch,https://www.lightspeedmagazine.com/fiction/big-boss-bitch/,Adrienne Celt,Oct. 2018
The Real You™,https://www.lightspeedmagazine.com/fiction/the-real-you/,Molly Tanzer,Oct. 2018
How to Become a Robot in 12 Easy Steps,https://www.lightspeedmagazine.com/fiction/how-to-become-a-robot-in-12-easy-steps/,Merc Fenn Wolfmoor,Sep. 2018
The Last to Matter,https://www.lightspeedmagazine.com/fiction/the-last-to-matter/,Adam-Troy Castro,Sep. 2018
Harry and Marlowe and the Secret of Ahomana,https://www.lightspeedmagazine.com/fiction/harry-and-marlowe-and-the-secret-of-ahomana/,Carrie Vaughn,Sep. 2018
"Her Monster, Whom She Loved",https://www.lightspeedmagazine.com/fiction/her-monster-whom-she-loved/,Vylar Kaftan,Sep. 2018
The Atonement Path,https://www.lightspeedmagazine.com/fiction/the-atonement-path/,Alex Irvine,Aug. 2018
Project Extropy,https://www.lightspeedmagazine.com/fiction/project-extropy/,Dominica Phetteplace,Aug. 2018
Angels,https://www.lightspeedmagazine.com/fiction/angels/,Bruce McAllister,Aug. 2018
"Greetings, Humanity! Welcome To Your Choice Of Species!",https://www.lightspeedmagazine.com/fiction/greetings-humanity-welcome-to-your-choice-of-species/,Adam-Troy Castro,July 2018
The Right Place to Start a Family,https://www.lightspeedmagazine.com/fiction/the-right-place-to-start-a-family/,Caroline M. Yoachim,July 2018
A Bond as Deep as Starlit Seas,https://www.lightspeedmagazine.com/fiction/a-bond-as-deep-as-starlit-seas/,Sarah Grey,Aug. 2018
Waterbirds,https://www.lightspeedmagazine.com/fiction/waterbirds/,G.V. Anderson,July 2018
Permanent Fatal Errors,https://www.lightspeedmagazine.com/fiction/permanent-fatal-errors/,Jay Lake,July 2018
Contractual Obligation,https://www.lightspeedmagazine.com/fiction/contractual-obligation/,James L. Cambias,June 2018
Tie Goes to the Runner,https://www.lightspeedmagazine.com/fiction/tie-goes-to-the-runner/,Russell Nichols,June 2018
A Pilgrim’s Guide to the Lighthouse of Quvenle the Seer,https://www.lightspeedmagazine.com/fiction/a-pilgrims-guide-to-the-lighthouse-of-quvenle-the-seer/,Lina Rather,June 2018
I Sing Against the Silent Sun,https://www.lightspeedmagazine.com/fiction/i-sing-against-the-silent-sun/,Merc Fenn Wolfmoor,June 2018
A Green Moon Problem,https://www.lightspeedmagazine.com/fiction/a-green-moon-problem/,Jane Lindskold,May 2018
We Will Be All Right,https://www.lightspeedmagazine.com/fiction/we-will-be-all-right/,Carolyn Ives Gilman,May 2018
The Crystal Spheres,https://www.lightspeedmagazine.com/fiction/the-crystal-spheres/,David Brin,May 2018
Sunset,https://www.lightspeedmagazine.com/fiction/sunset/,Tobias S. Buckell,May 2018
Mozart on the Kalahari,https://www.lightspeedmagazine.com/fiction/mozart-on-the-kalahari/,Steven Barnes,Apr. 2018
The Elephants’ Crematorium,https://www.lightspeedmagazine.com/fiction/the-elephants-crematorium/,Timothy Mudie,Apr. 2018
Webs,https://www.lightspeedmagazine.com/fiction/webs/,Mary Anne Mohanraj,Apr. 2018
What Is Eve?,https://www.lightspeedmagazine.com/fiction/what-is-eve/,Will McIntosh,Apr. 2018
The Effluent Engine,https://www.lightspeedmagazine.com/fiction/the-effluent-engine/,N.K. Jemisin,Mar. 2018
"Brightened Star, Ascending Dawn",https://www.lightspeedmagazine.com/fiction/brightened-star-ascending-dawn/,Merc Fenn Wolfmoor,Mar. 2018
Cosmic Spring,https://www.lightspeedmagazine.com/fiction/cosmic-spring/,Ken Liu,Mar. 2018
The Goddess Has Many Faces,https://www.lightspeedmagazine.com/fiction/goddess-many-faces/,Ashok K. Banker,Feb. 2018
The Independence Patch,https://www.lightspeedmagazine.com/fiction/the-independence-patch/,Bryan Camp,Mar. 2018
Jamaica Ginger,https://www.lightspeedmagazine.com/fiction/jamaica-ginger/,Nalo Hopkinson,Feb. 2018
Zen and the Art of Starship Maintenance,https://www.lightspeedmagazine.com/fiction/zen-art-starship-maintenance/,Tobias S. Buckell,Feb. 2018
Four-Point Affective Calibration,https://www.lightspeedmagazine.com/fiction/four-point-affective-calibration/,Bogi Takács,Feb. 2018
"Golubash, Or Wine-Blood-War-Elegy",https://www.lightspeedmagazine.com/fiction/golubash-wine-blood-war-elegy/,Catherynne M. Valente,Jan. 2018
Someday,https://www.lightspeedmagazine.com/fiction/someday/,James Patrick Kelly,Jan. 2018
The Eyes of the Flood,https://www.lightspeedmagazine.com/fiction/the-eyes-of-the-flood/,Susan Jane Bigelow,Jan. 2018
Blood Wedding,https://www.lightspeedmagazine.com/fiction/blood-wedding/,Robert Reed,Dec. 2017
The Streets of Babel,https://www.lightspeedmagazine.com/fiction/the-streets-of-babel/,Adam-Troy Castro,Jan. 2018
A Third of the Stars of Heaven,https://www.lightspeedmagazine.com/fiction/third-stars-heaven/,Cadwell Turnbull,Dec. 2017
Because Change Was the Ocean and We Lived By Her Mercy,https://www.lightspeedmagazine.com/fiction/change-ocean-lived-mercy/,Charlie Jane Anders,Dec. 2017
The Greatest One-Star Restaurant in the Whole Quadrant,https://www.lightspeedmagazine.com/fiction/greatest-one-star-restaurant-whole-quadrant/,Rachael K. Jones,Dec. 2017
Alice & Bob,https://www.lightspeedmagazine.com/fiction/alice-bob/,Philip Raines,Nov. 2017
Cake Baby (A Kango and Sharon Adventure),https://www.lightspeedmagazine.com/fiction/cake-baby-kango-sharon-adventure/,Charlie Jane Anders,Nov. 2017
A Vortal in Midtown,https://www.lightspeedmagazine.com/fiction/a-vortal-in-midtown/,Ashok K. Banker,Nov. 2017
The Mutable Borders of Love,https://www.lightspeedmagazine.com/fiction/mutable-borders-love/,Leslie What,Nov. 2017
What I Told My Little Girl About the Aliens Preparing to Grind Us Into Hamburgers,https://www.lightspeedmagazine.com/fiction/told-little-girl-aliens-preparing-grind-us-hamburgers/,Adam-Troy Castro,Oct. 2017
The Walk Up Nameless Ridge,https://www.lightspeedmagazine.com/fiction/walk-nameless-ridge/,Hugh Howey,Oct. 2017
Crossing the Midday Gate,https://www.lightspeedmagazine.com/fiction/crossing-midday-gate/,Aliette de Bodard,Oct. 2017
Longing for Stars Once Lost,https://www.lightspeedmagazine.com/fiction/longing-stars-lost/,Merc Fenn Wolfmoor,Oct. 2017
Carthago Delenda Est,https://www.lightspeedmagazine.com/fiction/carthago-delenda-est/,Genevieve Valentine,Sept. 2017
Ugo,https://www.lightspeedmagazine.com/fiction/ugo/,Giovanni De Feo,Sept. 2017
Swing Time,https://www.lightspeedmagazine.com/fiction/swing-time/,Carrie Vaughn,Aug 2017
An Ever-Expanding Flash of Light,https://www.lightspeedmagazine.com/fiction/ever-expanding-flash-light/,Timothy Mudie,Sept. 2017
Blue Ribbon,https://www.lightspeedmagazine.com/fiction/blue-ribbon/,Marissa Lingen,Sept. 2017
An Inflexible Truth,https://www.lightspeedmagazine.com/fiction/an-inflexible-truth/,Christopher East,Aug 2017
Tongue,https://www.lightspeedmagazine.com/fiction/tongue/,Ashok K. Banker,Aug 2017
"The Sun God At Dawn, Rising From A Lotus Blossom",https://www.lightspeedmagazine.com/fiction/sun-god-dawn-rising-lotus-blossom/,Andrea Kail,Aug 2017
The Last Flight of Doctor Ain,https://www.lightspeedmagazine.com/fiction/last-flight-doctor-ain/,"James Tiptree, Jr.",July 2017
Mix Tapes From Dead Boys,https://www.lightspeedmagazine.com/fiction/mix-tapes-dead-boys/,E. Catherine Tobler,July 2017
Marcher,https://www.lightspeedmagazine.com/fiction/marcher/,Chris Beckett,July 2017
The Law of Conservation of Data,https://www.lightspeedmagazine.com/fiction/law-conservation-data/,John Grant,July 2017
Love Engine Optimization,https://www.lightspeedmagazine.com/fiction/love-engine-optimization/,Matthew Kressel,June 2017
The Heart’s Filthy Lesson,https://www.lightspeedmagazine.com/fiction/hearts-filthy-lesson/,Elizabeth Bear,June 2017
"Marcel Proust, Incorporated",https://www.lightspeedmagazine.com/fiction/marcel-proust-incorporated/,Scott Dalrymple,June 2017
The Heart’s Cartography,https://www.lightspeedmagazine.com/fiction/the-hearts-cartography/,Susan Jane Bigelow,May 2017
Yakshantariksh,https://www.lightspeedmagazine.com/fiction/yakshantariksh/,Vandana Singh,June 2017
Dragonflies,https://www.lightspeedmagazine.com/fiction/dragonflies/,Seanan McGuire,May 2017
This Is for You,https://www.lightspeedmagazine.com/fiction/this-is-for-you/,Bruce McAllister,May 2017
Ratcatcher,https://www.lightspeedmagazine.com/fiction/ratcatcher/,Tobias S. Buckell,May 2017
Seven Permutations of My Daughter,https://www.lightspeedmagazine.com/fiction/seven-permutations-daughter/,Lina Rather,Apr. 2017
Someone to Watch Over Me,https://www.lightspeedmagazine.com/fiction/someone-to-watch-over-me/,Nancy Kress,Apr. 2017
Infinite Love Engine,https://www.lightspeedmagazine.com/fiction/infinite-love-engine/,Violet Allen,Apr. 2017
If Lions Could Speak: Imagining the Alien,https://www.lightspeedmagazine.com/fiction/lions-speak-imagining-alien/,Paul Park,Apr. 2017
Come-from-Aways,https://www.lightspeedmagazine.com/fiction/come-from-aways/,Julian Mortimer Smith,Mar. 2017
Death Every Seventy-Two Minutes,https://www.lightspeedmagazine.com/fiction/death-every-seventy-two-minutes/,Adam-Troy Castro,Mar. 2017
The Worldless,https://www.lightspeedmagazine.com/fiction/the-worldless/,Indrapramit Das,Mar. 2017
The Last Garden,https://www.lightspeedmagazine.com/fiction/the-last-garden/,Jack Skillingstead,Feb. 2017
Lady Antheia’s Guide to Horticultural Warfare,https://www.lightspeedmagazine.com/fiction/lady-antheias-guide-horticultural-warfare/,Seanan McGuire,Feb. 2017
"Later, Let’s Tear Up The Inner Sanctum",https://www.lightspeedmagazine.com/fiction/later-lets-tear-inner-sanctum/,Merc Fenn Wolfmoor,Feb. 2017
Starship Day,https://www.lightspeedmagazine.com/fiction/starship-day/,Ian R. MacLeod,Feb. 2017
Tracker,https://www.lightspeedmagazine.com/fiction/tracker/,Mary Rosenblum,Jan. 2017
Nine-Tenths of the Law,https://www.lightspeedmagazine.com/fiction/nine-tenths-law/,Molly Tanzer,Jan. 2017
The Whole Crew Hates Me,https://www.lightspeedmagazine.com/fiction/whole-crew-hates/,Adam-Troy Castro,Jan. 2017
Rates Of Change,https://www.lightspeedmagazine.com/fiction/rates-of-change/,James S.A. Corey,Jan. 2017
The Venus Effect,https://www.lightspeedmagazine.com/fiction/the-venus-effect/,Violet Allen,Dec. 2016
This Is as I Wish to Be Restored,https://www.lightspeedmagazine.com/fiction/this-is-as-i-wish-to-be-restored/,Christie Yant,Dec. 2016
The Fifth Star in the Southern Cross,https://www.lightspeedmagazine.com/fiction/fifth-star-southern-cross/,Margo Lanagan,Dec. 2016
"For Solo Cello, op. 12",https://www.lightspeedmagazine.com/fiction/solo-cello-op-12/,Mary Robinette Kowal,Nov. 2016
"The Cyborg, the Tinman, the Merchant of Death",https://www.lightspeedmagazine.com/fiction/cyborg-tinman-merchant-death/,Rich Larson,Dec. 2016
Dinosaur Killers,https://www.lightspeedmagazine.com/fiction/dinosaur-killers/,Chris Kluwe,Nov. 2016
Under the Eaves,https://www.lightspeedmagazine.com/fiction/under-the-eaves/,Lavie Tidhar,Nov. 2016
Natural Skin,https://www.lightspeedmagazine.com/fiction/natural-skin/,Alyssa Wong,Nov. 2016
Plea,https://www.lightspeedmagazine.com/fiction/plea/,Mary Anne Mohanraj,Oct. 2016
"A Moment of Gravity, Circumscribed",https://www.lightspeedmagazine.com/fiction/moment-gravity-circumscribed/,Fran Wilde,Oct. 2016
Unauthorized Access,https://www.lightspeedmagazine.com/fiction/unauthorized-access/,An Owomoyela,Sept. 2016
Fade To Red: Three Interviews About Sebold’s Mars Trilogy,https://www.lightspeedmagazine.com/fiction/fade-red-three-interviews-sebolds-mars-trilogy/,Stephen S. Power,Oct. 2016
Game Night at the Fox and Goose,https://www.lightspeedmagazine.com/fiction/game-night-fox-goose/,Karen Joy Fowler,Oct. 2016
Ernesto,https://www.lightspeedmagazine.com/fiction/ernesto/,Alec Nevala-Lee,Sept. 2016
Power Couple (Or “Love Never Sleeps”),https://www.lightspeedmagazine.com/fiction/power-couple-love-never-sleeps/,Charlie Jane Anders,Sept. 2016
The Lives of Riley,https://www.lightspeedmagazine.com/fiction/the-lives-of-riley/,Sean Williams,Sept. 2016
Laika Comes Back Safe,https://www.lightspeedmagazine.com/fiction/laika-comes-back-safe/,Maureen F. McHugh,Aug. 2016
Taste the Singularity at the Food Truck Circus,https://www.lightspeedmagazine.com/fiction/taste-singularity-food-truck-circus/,Jeremiah Tolbert,Aug. 2016
The War of Heroes,https://www.lightspeedmagazine.com/fiction/the-war-of-heroes/,Kameron Hurley,Aug. 2016
Those Brighter Stars,https://www.lightspeedmagazine.com/fiction/those-brighter-stars/,Mercurio D. Rivera,Aug. 2016
5×5,https://www.lightspeedmagazine.com/fiction/5x5/,Jilly Dreadful,Jul. 2016
Hello Again,https://www.lightspeedmagazine.com/fiction/hello-again/,Seth Fried,Jul. 2016
The One Who Isn’t,https://www.lightspeedmagazine.com/fiction/the-one-who-isnt/,Ted Kosmatka,Jul. 2016
Small Medicine,https://www.lightspeedmagazine.com/fiction/small-medicine/,Genevieve Valentine,Jul. 2016
Delhi,https://www.lightspeedmagazine.com/fiction/delhi/,Vandana Singh,June 2016
Fifty Shades of Grays,https://www.lightspeedmagazine.com/fiction/fifty-shades-grays/,Steven Barnes,June 2016
Wilson’s Singularity,https://www.lightspeedmagazine.com/fiction/wilsons-singularity/,Terence Taylor,June 2016
The Red Thread,https://www.lightspeedmagazine.com/fiction/the-red-thread/,Sofia Samatar,June 2016
Double Time,https://www.lightspeedmagazine.com/fiction/double-time/,John Chu,June 2016
Hiranyagarbha,https://www.lightspeedmagazine.com/fiction/hiranyagarbha/,Kevin Jared Hosein,June 2016
An Offertory to Our Drowned Gods,https://www.lightspeedmagazine.com/fiction/offertory-drowned-gods/,Teresa Naval,June 2016
Binaries,https://www.lightspeedmagazine.com/fiction/binaries/,S.B. Divya,June 2016
Four and Twenty Blackbirds,https://www.lightspeedmagazine.com/fiction/four-twenty-blackbirds/,JY Yang,June 2016
Other Metamorphoses,https://www.lightspeedmagazine.com/fiction/other-metamorphoses/,Fabio Fernandes,June 2016
People of Colo(u)r Destroy Flash Fiction!,https://www.lightspeedmagazine.com/fiction/people-colour-destroy-flash-fiction/,Berit Ellingsen,June 2016
Salto Mortal,https://www.lightspeedmagazine.com/fiction/salto-mortal/,Nick T. Chan,June 2016
A Good Home,https://www.lightspeedmagazine.com/fiction/a-good-home/,Karin Lowachee,June 2016
The Philosopher’s Stone,https://www.lightspeedmagazine.com/fiction/the-philosophers-stone/,Tora Greve,May 2016
Deathlight,https://www.lightspeedmagazine.com/fiction/deathlight/,Mari Ness,May 2016
Tethered,https://www.lightspeedmagazine.com/fiction/tethered/,Haris A. Durrani,May 2016
The Birth Will Take Place on a Mutually Acceptable Research Vessel,https://www.lightspeedmagazine.com/fiction/birth-will-take-place-mutually-acceptable-research-vessel/,Matthew Bailey,Apr. 2016
Three Points Masculine,https://www.lightspeedmagazine.com/fiction/three-points-masculine/,An Owomoyela,May 2016
Collateral,https://www.lightspeedmagazine.com/fiction/collateral/,Peter Watts,Apr. 2016
Origin Story,https://www.lightspeedmagazine.com/fiction/origin-story/,Carrie Vaughn,Apr. 2016
Cause For A Haunting,https://www.lightspeedmagazine.com/fiction/cause-for-a-haunting/,Patricia Strand,Apr. 2016
The Waiting Stars,https://www.lightspeedmagazine.com/fiction/the-waiting-stars/,Aliette de Bodard,Mar. 2016
RedKing,https://www.lightspeedmagazine.com/fiction/redking/,Craig DeLancey,Mar. 2016
The Mars Convention,https://www.lightspeedmagazine.com/fiction/the-mars-convention/,Timons Esaias,Mar. 2016
Welcome to the Medical Clinic at the Interplanetary Relay Station | Hours Since the Last Patient Death: 0,https://www.lightspeedmagazine.com/fiction/welcome-to-the-medical-clinic-at-the-interplanetary-relay-station/,Caroline M. Yoachim,Mar. 2016
Transitional Forms,https://www.lightspeedmagazine.com/fiction/transitional-forms/,Paul McAuley,Feb. 2016
Sooner or Later Everything Falls Into the Sea,https://www.lightspeedmagazine.com/fiction/sooner-or-later-everything-falls-into-the-sea/,Sarah Pinsker,Feb. 2016
Hereafter,https://www.lightspeedmagazine.com/fiction/hereafter/,Samuel Peralta,Feb. 2016
Charlotte Incorporated,https://www.lightspeedmagazine.com/fiction/charlotte-incorporated/,Rachael K. Jones,Feb. 2016
Beyond the Heliopause,https://www.lightspeedmagazine.com/fiction/beyond-the-heliopause/,Keith Brooke,Jan. 2016
The Dark Age,https://www.lightspeedmagazine.com/fiction/the-dark-age/,Jason Gurley,Jan. 2016
Secondhand Bodies,https://www.lightspeedmagazine.com/fiction/secondhand-bodies/,JY Yang,Jan. 2016
Pinono Deep,https://www.lightspeedmagazine.com/fiction/pinono-deep/,Kel Bachus,Jan. 2016
The Time Travel Club,https://www.lightspeedmagazine.com/fiction/the-time-travel-club/,Charlie Jane Anders,Dec. 2015
Beacon 23: Little Noises,https://www.lightspeedmagazine.com/fiction/beacon-23-little-noises/,Hugh Howey,Dec. 2015
Beneath the Silent Stars,https://www.lightspeedmagazine.com/fiction/beneath-the-silent-stars/,Aidan Doyle,Dec. 2015
"Rock, Paper, Scissors, Love, Death",https://www.lightspeedmagazine.com/fiction/rock-paper-scissors-love-death/,Caroline M. Yoachim,Nov. 2015
The Light Brigade,https://www.lightspeedmagazine.com/fiction/the-light-brigade/,Kameron Hurley,Nov. 2015
Tomorrow When We See the Sun,https://www.lightspeedmagazine.com/fiction/tomorrow-when-we-see-the-sun/,Merc Fenn Wolfmoor,Dec. 2015
Here is My Thinking on a Situation That Affects Us All,https://www.lightspeedmagazine.com/fiction/here-is-my-thinking-on-a-situation-that-affects-us-all/,Naomi Kanakia,Nov. 2015
The Pipes of Pan,https://www.lightspeedmagazine.com/fiction/the-pipes-of-pan/,Brian Stableford,Nov. 2015
Time Shards,https://www.lightspeedmagazine.com/fiction/time-shards/,Gregory Benford,Oct. 2015
Water Rights,https://www.lightspeedmagazine.com/fiction/water-rights/,An Owomoyela,Oct. 2015
Children of Dagon,https://www.lightspeedmagazine.com/fiction/children-of-dagon/,Adrian Tchaikovsky,Oct. 2015
Solder and Seam,https://www.lightspeedmagazine.com/fiction/solder-and-seam/,Maria Dahvana Headley,Oct. 2015
